Special Property Name;Description;id
Sturdy;A ranged weapon with this property ignores the negative effects of the first 2 levels of decay.;e4b511cb-fe22-49f4-92e5-74e84f7fda71
Two Handed;If you attack with a ranged weapon that has this property with only one hand, you must spend an additional 2 AP. Otherwise you have disadvantage on the attack roll and after you attack you fall prone. Alternatively, if your Strength ability score is greater than Strength requirement by at least 3, you can wield a ranged weapon with the two handed property with one hand without having disadvantage on the attack roll or falling prone.;e10f7957-3af2-42b2-9133-e6c272826130
Unstable;A weapon with this property gains a level of decay every five times you reload it instead of ten.;8d437a19-1623-4a47-ab8c-33880823a95c
Unwieldy;If you attack with a ranged weapon that has this property with only one hand, you have disadvantage on the attack roll unless your Perception score is equal to 10.;3e7f47f7-f091-428f-95a8-b23de6e9ae06
Automatic: 2;This specifies another property the weapon has.;4ea4bcb5-cf62-4ddf-99f1-9322c290392d
Automatic: 5;This specifies another property the weapon has.;a98e529a-1bdf-4f5e-8ae2-3db8504a500a
(Single Shot) Accurate;This specifies another property the weapon has.;91647b14-1a61-4b03-866a-a9d0e54a78da
(Single Shot) Semi-Automatic;This specifies another property the weapon has.;d4695422-5f90-4c3f-9e93-dea8d7adb776
(Fully Automatic) Unstable;This specifies another property the weapon has.;2b354bf3-bb96-4d5e-a8fe-0744c1fd6661
Automatic: 4;This specifies another property the weapon has.;b3a68406-b07a-4b7d-a70d-0616a0085a13
